iter,curriculum,curriculum_metric,total_num_steps,alpha,cycle_count,fps,entropy,value_loss,action_loss,value_loss_old,action_loss_old,value_reg_loss,action_reg_loss,mean_rew,median_rew,min_rew,max_rew
1,0,0,39960,0,0,5702,5.670816421508789,49.67632293701172,-0.006946422625333071,0.0,0.0,0.0,0.0,-109.54307206213835,-109.37831883038612,-131.16122795543262,-97.96562340008529
2,0,0,79920,0,0,5913,5.678506851196289,2.992929458618164,-0.00841123703867197,0.0,0.0,0.0,0.0,-110.03078749389884,-109.39389528730015,-168.41384819120046,-98.61024612218824
3,0,0,119880,0,0,5828,5.648736953735352,0.1461111307144165,-0.012897344306111336,0.0,0.0,0.0,0.0,-110.12591989425904,-109.39389528730015,-168.41384819120046,-98.61024612218824
4,0,0,159840,0,0,5566,5.544898986816406,0.0539824478328228,-0.018573252484202385,0.0,0.0,0.0,0.0,-110.12591989425904,-109.39389528730015,-168.41384819120046,-98.61024612218824
5,0,0,199800,0,0,5355,5.531717777252197,1.3106579780578613,-0.008839297108352184,0.0,0.0,0.0,0.0,-108.9995510023005,-108.11144176509293,-168.41384819120046,-90.11200740498809
6,0,0,239760,0,0,5246,5.535510063171387,7.68873405456543,-0.007837583310902119,0.0,0.0,0.0,0.0,-105.35144507133447,-105.10393147341654,-124.61904158420862,-85.65871835685283
7,0,0,279720,0,0,5124,5.5324788093566895,1.951979637145996,-0.010195758193731308,0.0,0.0,0.0,0.0,-105.03587749972225,-105.37845009098817,-124.61904158420862,-72.74662086511042
8,0,0,319680,0,0,5037,5.4605913162231445,0.07099609822034836,-0.012061715126037598,0.0,0.0,0.0,0.0,-104.70112013350214,-105.3068498525088,-124.61904158420862,-72.74662086511042
9,0,0,359640,0,0,4967,5.361879825592041,0.0529002882540226,-0.01822481118142605,0.0,0.0,0.0,0.0,-104.70112013350214,-105.3068498525088,-124.61904158420862,-72.74662086511042
10,0,0,399600,0,0,4919,5.348193645477295,1.780670166015625,-0.009329658932983875,0.0,0.0,0.0,0.0,-94.4962396439427,-98.8182877052324,-121.82340108147325,-61.148010618006786
11,0,0,439560,0,0,4863,5.343474864959717,5.732077598571777,-0.010078207589685917,0.0,0.0,0.0,0.0,-86.8554694936443,-78.82274036065166,-123.24799467581013,-50.26758126722399
12,0,0,479520,0,0,4834,5.338076114654541,1.818298578262329,-0.009878577664494514,0.0,0.0,0.0,0.0,-87.67003698354591,-84.31703783855401,-128.35193527567387,-50.26758126722399
13,0,0,519480,0.996104,1.0,4692,10.982571601867676,22.336393356323242,-0.0063306731171905994,6.51072883605957,-0.014893690124154091,101.34666442871094,0.0,-94.96605750377037,-104.45811205759675,-128.35193527567387,-50.26758126722399
14,0,0,559440,0.988112,1.0,4571,10.915763854980469,0.2640129029750824,-0.003716445295140147,0.09828151017427444,-0.012952272780239582,0.44235265254974365,0.0,-94.96605750377037,-104.45811205759675,-128.35193527567387,-50.26758126722399
15,0,0,599400,0.98012,1.0,4475,10.838231086730957,0.09549032896757126,-0.0060050575993955135,0.07766624540090561,-0.01657787524163723,0.08420601487159729,0.0,-94.96605750377037,-104.45811205759675,-128.35193527567387,-50.26758126722399
16,0,0,639360,0.972128,1.0,4391,10.758278846740723,0.08142959326505661,-0.007971202954649925,0.08176585286855698,-0.017294200137257576,0.028942754492163658,0.0,-94.96605750377037,-104.45811205759675,-128.35193527567387,-50.26758126722399
17,0,0,679320,0.964136,1.0,4320,10.710524559020996,1.351844072341919,-0.005347940605133772,2.0061841011047363,-0.013672749511897564,3.1184542179107666,0.0,-47.9721435824683,-36.534707554502376,-120.69886101788096,-10.705273557607084
18,0,0,719280,0.956144,1.0,4253,10.670708656311035,1.7435930967330933,-0.006365619599819183,1.0434741973876953,-0.014269359409809113,2.183692216873169,0.0,-46.995985212095015,-36.24710328828574,-136.14055186887705,-10.705273557607084
19,0,0,759240,0.948152,1.0,4194,10.565835952758789,0.0874946266412735,-0.009575778618454933,0.0872420221567154,-0.019325533881783485,0.02806331217288971,0.0,-46.995985212095015,-36.24710328828574,-136.14055186887705,-10.705273557607084
20,0,0,799200,0.94016,1.0,4144,10.502429008483887,0.218483567237854,-0.007487979717552662,0.2058035135269165,-0.00894592422991991,0.1236828938126564,0.0,-47.554320579632424,-36.24710328828574,-136.14055186887705,-10.705273557607084
21,0,0,839160,0.932168,1.0,4098,10.40253734588623,0.18413615226745605,-0.007762352470308542,0.18101686239242554,-0.011916651390492916,0.0751962885260582,0.0,-47.554320579632424,-36.24710328828574,-136.14055186887705,-10.705273557607084
22,0,0,879120,0.924176,1.0,4067,10.357062339782715,3.9875943660736084,-0.006121988873928785,4.249422550201416,-0.012345234863460064,3.8825440406799316,0.0,-12.078388941927033,2.379656759438288,-122.28279394924952,24.888675495676686
23,0,0,919080,0.916184,1.0,4034,10.293980598449707,0.6089572906494141,-0.00844915397465229,0.5357503294944763,-0.01223762147128582,0.5519699454307556,0.0,-18.58445115613265,1.548657949666727,-128.295424891904,24.888675495676686
24,0,0,959040,0.908192,1.0,4003,10.217124938964844,0.33912038803100586,-0.0067739360965788364,0.33769136667251587,-0.011979462578892708,0.177907332777977,0.0,-20.306443492986183,1.2430617533849895,-128.295424891904,24.888675495676686
