iter,curriculum,curriculum_metric,total_num_steps,alpha,cycle_count,fps,entropy,value_loss,action_loss,value_loss_old,action_loss_old,value_reg_loss,action_reg_loss,total_iterations,mean_rew,median_rew,min_rew,max_rew
1933,0,0,7654680,0.08633000000000002,1.0,4423,6.763257026672363,8.831866264343262,0.05501919612288475,8.72545337677002,-0.00664218096062541,0.6224680542945862,0.11401088535785675,5050,276.7872490141295,298.28171088582894,-33.4726301458645,302.0366658170254
1934,0,0,7658640,0.08533999999999997,1.0,4423,6.761587142944336,4.410923957824707,0.0744965672492981,4.52305793762207,-0.006998506374657154,0.24577519297599792,0.11508185416460037,5050,278.0958761341577,298.38586568258984,-33.4726301458645,302.0366658170254
1935,0,0,7662600,0.08435000000000004,1.0,4423,6.7585225105285645,9.191556930541992,0.06833209097385406,8.899630546569824,-0.005516079254448414,1.6203733682632446,0.11080417782068253,5050,279.7635405998339,298.4526705247441,-33.4726301458645,302.0944236850809
1936,0,0,7666560,0.08335999999999999,1.0,4422,6.756566524505615,7.795137405395508,0.10108212381601334,7.885145664215088,-0.006723378784954548,0.31582072377204895,0.1311955451965332,5050,279.52097747854583,298.5378335482041,-33.4726301458645,302.0944236850809
1937,0,0,7670520,0.08237000000000005,1.0,4422,6.754181861877441,2.2395753860473633,0.07863938063383102,2.245056629180908,-0.004535738844424486,0.24421808123588562,0.13628320395946503,5050,279.5641075729006,298.5670477439534,-33.4726301458645,302.0944236850809
1938,0,0,7674480,0.08138000000000001,1.0,4422,6.75154972076416,9.161722183227539,0.06277624517679214,9.654638290405273,-0.0075426832772791386,1.012795090675354,0.11582223325967789,5050,279.5830027346095,298.5670477439534,-33.4726301458645,302.0944236850809
1939,0,0,7678440,0.08038999999999996,1.0,4421,6.749770164489746,10.823476791381836,0.07332868129014969,11.191673278808594,-0.007842618972063065,0.5752552151679993,0.1090988963842392,5050,279.56595250424897,298.5670477439534,-33.4726301458645,302.0944236850809
1940,0,0,7682400,0.07940000000000003,1.0,4421,6.748570442199707,9.355401992797852,0.07874848693609238,9.543373107910156,-0.006435384973883629,0.6461151242256165,0.10958930104970932,5050,280.61207460177826,298.5576645457354,-33.4726301458645,302.0944236850809
1941,0,0,7686360,0.07840999999999998,1.0,4421,6.74712610244751,6.821337699890137,0.09062139689922333,7.370509624481201,-0.005798781290650368,1.055598497390747,0.11744342744350433,5050,280.61140489643697,298.5670477439534,-33.4726301458645,302.0944236850809
1942,0,0,7690320,0.07742000000000004,1.0,4421,6.744990348815918,5.875175476074219,0.07584310322999954,5.8207688331604,-0.005884184967726469,0.29332301020622253,0.1160428375005722,5050,280.4242298659198,298.5670477439534,-49.657817355963076,302.0944236850809
1943,0,0,7694280,0.07643,1.0,4421,6.741108417510986,1.420335292816162,0.14686529338359833,1.3804457187652588,-0.0036966821644455194,0.27596315741539,0.1250971257686615,5050,280.4327891243751,298.5670477439534,-49.657817355963076,302.0944236850809
1944,0,0,7698240,0.07543999999999995,1.0,4420,6.736874103546143,7.7515740394592285,0.09277146309614182,7.650200366973877,-0.006934414617717266,0.6406303644180298,0.1375909149646759,5050,282.07102192490163,298.58197555820277,-49.657817355963076,302.0944236850809
1945,0,0,7702200,0.07445000000000002,1.0,4420,6.7338385581970215,6.098687648773193,0.06737960875034332,6.275859832763672,-0.005340938456356525,0.3317480981349945,0.12565945088863373,5050,282.4350088718571,298.7479154356039,-49.657817355963076,302.0944236850809
1946,0,0,7706160,0.07345999999999997,1.0,4419,6.732972145080566,6.397622108459473,0.06694251298904419,8.580331802368164,-0.008530267514288425,0.818905234336853,0.11557783931493759,5050,282.4434488700146,298.6229557979363,-49.657817355963076,302.0944236850809
1947,0,0,7710120,0.07247000000000003,1.0,4419,6.731971740722656,7.680382251739502,0.04615878686308861,6.437197208404541,-0.0066036805510520935,1.1617023944854736,0.10588490217924118,5050,284.7663087781224,298.7479154356039,-49.657817355963076,302.0944236850809
1948,0,0,7714080,0.07147999999999999,1.0,4419,6.730336666107178,1.5147651433944702,0.08949156850576401,1.5276947021484375,-0.007334066089242697,0.3171628415584564,0.09995125979185104,5050,284.7683231857438,298.7479154356039,-49.657817355963076,302.0944236850809
1949,0,0,7718040,0.07049000000000005,1.0,4419,6.727394104003906,7.11931848526001,0.06432866305112839,5.933352947235107,-0.007170485332608223,4.484626293182373,0.10700723528862,5050,284.8235345313603,298.8252879067088,-49.657817355963076,302.0944236850809
1950,0,0,7722000,0.0695,1.0,4419,6.725650787353516,4.178709030151367,0.09246056526899338,6.212350368499756,-0.00869460217654705,9.66996955871582,0.113880954682827,5050,282.8700341162073,298.8252879067088,-49.657817355963076,302.4778663539909
1951,0,0,7725960,0.06850999999999996,1.0,4418,6.72351598739624,5.358181476593018,0.056720077991485596,5.54697847366333,-0.0073369694873690605,0.48357459902763367,0.10874031484127045,5050,282.4863096357427,298.8252879067088,-49.657817355963076,302.4778663539909
1952,0,0,7729920,0.06752000000000002,1.0,4418,6.72121524810791,9.14487361907959,0.0881088599562645,9.063886642456055,-0.007484321016818285,0.19268375635147095,0.10942935198545456,5050,284.64856215878797,298.87915127181304,-49.657817355963076,302.4778663539909
1953,0,0,7733880,0.06652999999999998,1.0,4418,6.718992233276367,10.198356628417969,0.09229439496994019,9.45080852508545,-0.007748285308480263,0.6183950304985046,0.1524701565504074,5050,284.66584225893746,298.87915127181304,-49.657817355963076,302.4778663539909
1954,0,0,7737840,0.06554000000000004,1.0,4418,6.718142509460449,6.871560096740723,0.06140333041548729,7.023897647857666,-0.006755132228136063,0.700374960899353,0.12143467366695404,5050,285.11287033320986,298.8994979116334,-49.657817355963076,302.4778663539909
1955,0,0,7741800,0.06455,1.0,4418,6.716507911682129,4.43811559677124,0.07579819858074188,4.347222328186035,-0.005252985283732414,0.31437528133392334,0.13204501569271088,5050,285.1118746156259,298.87915127181304,-49.657817355963076,302.4778663539909
1956,0,0,7745760,0.06355999999999995,1.0,4417,6.714428901672363,6.376015663146973,0.07620266824960709,6.403975486755371,-0.006636961363255978,0.25178417563438416,0.12129773944616318,5050,283.39118897507836,298.9060573597336,-49.657817355963076,302.4778663539909
1957,0,0,7749720,0.06257000000000001,1.0,4417,6.710442543029785,4.1562886238098145,0.24770167469978333,4.186877727508545,-0.006759715732187033,0.20491676032543182,0.1487034410238266,5050,284.48373886839033,298.99604250228083,-49.657817355963076,302.4778663539909
1958,0,0,7753680,0.06157999999999997,1.0,4417,6.705135345458984,5.195189476013184,0.07814710587263107,5.181937217712402,-0.005548948422074318,0.1592911332845688,0.16118238866329193,5050,284.52206928302076,299.1221511851966,-49.657817355963076,302.4778663539909
1959,0,0,7757640,0.06059000000000003,1.0,4417,6.702331066131592,5.76707124710083,0.11399861425161362,5.740639686584473,-0.005356783512979746,0.19233021140098572,0.1967967003583908,5050,284.5837191016731,299.22130335059614,-49.657817355963076,302.4778663539909
1960,0,0,7761600,0.059599999999999986,1.0,4416,6.700371742248535,8.866271018981934,0.14262183010578156,8.866884231567383,-0.0075196255929768085,0.1613738238811493,0.22403399646282196,5050,286.1645646384414,299.22885215949896,-49.657817355963076,302.4778663539909
1961,0,0,7765560,0.05861000000000005,1.0,4416,6.699315547943115,3.5622222423553467,0.1110108271241188,3.546189308166504,-0.007625171449035406,0.19443859159946442,0.2736394703388214,5050,286.13971832368986,299.1867304773357,-49.657817355963076,302.4778663539909
1962,0,0,7769520,0.057620000000000005,1.0,4416,6.697362422943115,5.066894054412842,0.08689501881599426,5.143345355987549,-0.006589194294065237,0.2241080403327942,0.15865322947502136,5050,286.19575100537224,299.25101604682595,-49.657817355963076,302.8257457794721
1963,0,0,7773480,0.05662999999999996,1.0,4415,6.695125102996826,6.177254676818848,0.0774439200758934,6.21711540222168,-0.0071141356602311134,0.1365351378917694,0.14695407450199127,5050,286.29395272029745,299.38952283404797,-49.657817355963076,302.8257457794721
