iter,curriculum,curriculum_metric,total_num_steps,alpha,cycle_count,fps,entropy,value_loss,action_loss,value_loss_old,action_loss_old,value_reg_loss,action_reg_loss,total_iterations,mean_rew,median_rew,min_rew,max_rew
1,0,0,39960,0,0,5750,29.654998779296875,160.1093292236328,-0.04842279851436615,0.0,0.0,0.0,0.0,1001,-80.59415345075993,-73.5824328368007,-274.2916592914582,-19.219932031036187
2,0,0,79920,0,0,5424,29.53553009033203,154.8834228515625,-0.04565136507153511,0.0,0.0,0.0,0.0,1001,-75.60360851397436,-69.2292939805547,-200.41160595646977,-5.782243284517486
3,0,0,119880,0,0,4905,29.38187599182129,136.41729736328125,-0.05145150050520897,0.0,0.0,0.0,0.0,1001,-68.05007621861303,-63.04758071533507,-305.7165253815146,-19.978766695217352
4,0,0,159840,0,0,4601,29.226057052612305,126.62422180175781,-0.05307970941066742,0.0,0.0,0.0,0.0,1001,-59.760476636996685,-58.14417235433432,-147.84602897584082,-22.28344545134199
5,0,0,199800,0,0,4409,29.06983757019043,121.11534881591797,-0.05114312842488289,0.0,0.0,0.0,0.0,1001,-62.834767022579484,-55.80519656351858,-267.30292400401044,-18.164987867142372
6,0,0,239760,0,0,4217,28.875802993774414,95.54663848876953,-0.05473517253994942,0.0,0.0,0.0,0.0,1001,-53.240001704519585,-52.388342699363875,-157.85473062858915,-7.078011854502961
7,0,0,279720,0,0,4130,28.64116668701172,80.88473510742188,-0.055745866149663925,0.0,0.0,0.0,0.0,1001,-49.129430966731874,-47.18661993441748,-278.09963060642025,-10.931886029630114
8,0,0,319680,0,0,4071,28.375499725341797,59.68825912475586,-0.05864083766937256,0.0,0.0,0.0,0.0,1001,-43.86572412888068,-43.21818750956504,-93.33956974608796,14.93247148508941
9,0,0,359640,0,0,4001,28.107139587402344,59.8602180480957,-0.05386001616716385,0.0,0.0,0.0,0.0,1001,-42.1604522632736,-37.75727262732961,-227.83226775755207,-8.919775618886508
10,0,0,399600,0,0,3943,27.829181671142578,53.55744171142578,-0.05282057449221611,0.0,0.0,0.0,0.0,1001,-34.952936401077984,-34.28782657910635,-129.92846628026422,-8.439176438260882
11,0,0,439560,0,0,3904,27.49958038330078,40.06100845336914,-0.052048616111278534,0.0,0.0,0.0,0.0,1001,-33.020233069612374,-31.875043274970707,-76.1905323005349,-9.598708557356723
12,0,0,479520,0,0,3875,27.16184425354004,34.12432098388672,-0.05359092727303505,0.0,0.0,0.0,0.0,1001,-29.864191803635922,-28.333596419484508,-90.58385342799416,-3.9014366169045074
13,0,0,519480,0,0,3842,26.81593132019043,32.7265625,-0.050388749688863754,0.0,0.0,0.0,0.0,1001,-26.166167829345802,-25.26790004010792,-69.26904697906781,36.82635765304917
14,0,0,559440,0,0,3816,26.447124481201172,32.66519546508789,-0.04917563498020172,0.0,0.0,0.0,0.0,1001,-23.033726655939926,-21.529724139157807,-50.04783071744217,3.388071407722574
15,0,0,599400,0,0,3811,26.04297637939453,24.204570770263672,-0.05227549746632576,0.0,0.0,0.0,0.0,1001,-21.884578296250968,-20.31093669292674,-93.61055572793231,4.647985425228084
16,0,0,639360,0,0,3807,25.67357635498047,25.805572509765625,-0.04641382023692131,0.0,0.0,0.0,0.0,1001,-22.628373659008748,-21.705248400180587,-57.36475487175477,7.158330872624178
17,0,0,679320,0,0,3792,25.25745964050293,17.868505477905273,-0.052012138068675995,0.0,0.0,0.0,0.0,1001,-17.71418472221811,-16.49824486965686,-42.591944315405044,14.724677189799763
18,0,0,719280,0,0,3782,24.844730377197266,16.66830825805664,-0.051458973437547684,0.0,0.0,0.0,0.0,1001,-16.73947404364806,-15.552387135934378,-54.72412063021771,1.4486603802911846
19,0,0,759240,0,0,3781,24.45558738708496,16.87360954284668,-0.050782766193151474,0.0,0.0,0.0,0.0,1001,-12.59515102354235,-13.12628533005126,-31.31580163600616,10.611743964135687
20,0,0,799200,0,0,3779,24.051462173461914,14.973808288574219,-0.05099426954984665,0.0,0.0,0.0,0.0,1001,-11.59277083941864,-10.173886892039361,-49.3713921677045,12.602962635261925
21,0,0,839160,0,0,3766,23.64707374572754,12.385004997253418,-0.05065755918622017,0.0,0.0,0.0,0.0,1001,-10.388784398529845,-9.842140683422492,-32.697218087745874,10.157520373083969
22,0,0,879120,0,0,3757,23.229961395263672,12.195587158203125,-0.050555068999528885,0.0,0.0,0.0,0.0,1001,-9.354377416354263,-7.9707372922529025,-45.0810743064749,20.26927674517935
23,0,0,919080,0,0,3749,22.810279846191406,11.277975082397461,-0.04879768192768097,0.0,0.0,0.0,0.0,1001,-7.892666565428614,-7.4625684089578055,-33.72811459991159,17.18639214741949
24,0,0,959040,0,0,3741,22.40412712097168,9.812042236328125,-0.04825926572084427,0.0,0.0,0.0,0.0,1001,-6.863593911186187,-6.200096087253187,-30.94836020130031,15.592968715940279
25,0,0,999000,0,0,3730,21.979528427124023,9.31900405883789,-0.05056637525558472,0.0,0.0,0.0,0.0,1001,-5.507588596189536,-5.255172620937437,-39.016048593682164,20.7881058239725
26,0,0,1038960,0,0,3720,21.5552921295166,8.847932815551758,-0.047197598963975906,0.0,0.0,0.0,0.0,1001,-3.6598345086756456,-3.3860636594225433,-37.79650709599122,15.380840090677546
27,0,0,1078920,0,0,3710,21.14565086364746,8.265037536621094,-0.04875479266047478,0.0,0.0,0.0,0.0,1001,-3.3852957192796804,-3.1018222241456552,-26.5485472927505,15.337051164904986
28,0,0,1118880,0,0,3705,20.745283126831055,7.588165760040283,-0.04710523411631584,0.0,0.0,0.0,0.0,1001,-2.3223331722878156,-2.9629692490280535,-28.557210181681935,16.75518656904867
29,0,0,1158840,0,0,3698,20.32901382446289,6.391937255859375,-0.0474054291844368,0.0,0.0,0.0,0.0,1001,-1.2249500813481484,-0.7753391514586576,-37.982553302109054,15.423544945144823
30,0,0,1198800,0,0,3694,19.91865348815918,6.868328094482422,-0.046151310205459595,0.0,0.0,0.0,0.0,1001,1.2069115468407812,0.4233798967822737,-18.859015766606014,20.773077397136518
31,0,0,1238760,0,0,3689,19.49985694885254,5.880130767822266,-0.04699495807290077,0.0,0.0,0.0,0.0,1001,2.4921250174395495,1.8191188954649666,-15.915090109668498,21.99878267632581
32,0,0,1278720,0,0,3683,19.080537796020508,5.43470573425293,-0.04519610106945038,0.0,0.0,0.0,0.0,1001,2.699724012012003,2.035009385131499,-17.142738203207976,19.754682747585928
33,0,0,1318680,0,0,3682,18.664705276489258,4.938043594360352,-0.046089593321084976,0.0,0.0,0.0,0.0,1001,4.112579784457096,2.8653755775079754,-13.05777243287397,25.19892427649372
34,0,0,1358640,0,0,3680,18.255054473876953,4.948357105255127,-0.046190112829208374,0.0,0.0,0.0,0.0,1001,4.286326199842813,4.3492410801703985,-18.188026057291047,31.859687411862282
35,0,0,1398600,0,0,3675,17.844270706176758,4.131349563598633,-0.044682577252388,0.0,0.0,0.0,0.0,1001,6.045983918415101,5.952052719927407,-17.61811643843879,23.813591718124343
36,0,0,1438560,0,0,3671,17.429771423339844,4.515998363494873,-0.04399171471595764,0.0,0.0,0.0,0.0,1001,6.931791835830591,6.047186528041359,-16.26364387646222,27.782935020480924
37,0,0,1478520,0,0,3677,17.00571060180664,3.7771084308624268,-0.045575518161058426,0.0,0.0,0.0,0.0,1001,7.993325246507878,7.672173224102672,-11.109728875325072,26.166899362113043
38,0,0,1518480,0,0,3670,16.62329864501953,3.8407227993011475,-0.043620772659778595,0.0,0.0,0.0,0.0,1001,7.118824927210178,6.328079394698483,-11.477231726114834,31.36731878766301
39,0,0,1558440,0,0,3666,16.24340057373047,4.261133670806885,-0.04496091976761818,0.0,0.0,0.0,0.0,1001,9.014908912338502,8.678827006581525,-15.983833242994104,28.233081523258033
40,0,0,1598400,0,0,3660,15.86315631866455,3.545175313949585,-0.04362229257822037,0.0,0.0,0.0,0.0,1001,9.945938619708638,10.00581135618818,-10.240783576583741,29.914637473610828
41,0,0,1638360,0,0,3657,15.469952583312988,3.409151554107666,-0.04295292869210243,0.0,0.0,0.0,0.0,1001,10.554717835395504,9.498467898745881,-13.482299404735011,30.41799308019036
42,0,0,1678320,0,0,3656,15.12991714477539,3.551302194595337,-0.042067576199769974,0.0,0.0,0.0,0.0,1001,12.15499639021802,11.066595148029013,-10.411437891124253,35.0868160724747
43,0,0,1718280,0,0,3653,14.775260925292969,4.019937038421631,-0.04080668464303017,0.0,0.0,0.0,0.0,1001,12.264505355509918,11.590062819640464,-7.494734815080477,35.160200065907254
44,0,0,1758240,0,0,3650,14.406071662902832,3.725191354751587,-0.04082035273313522,0.0,0.0,0.0,0.0,1001,12.466403968961991,12.572263259467052,-10.442984435531347,36.042899292310366
45,0,0,1798200,0,0,3647,14.094133377075195,3.4183499813079834,-0.042064979672431946,0.0,0.0,0.0,0.0,1001,13.99708617942707,13.671198851586851,-7.622429992913283,44.10072205094719
46,0,0,1838160,0,0,3647,13.745802879333496,3.847663640975952,-0.039587896317243576,0.0,0.0,0.0,0.0,1001,15.916692160686022,15.390418650376471,-9.723475132558942,40.62850726668582
47,0,0,1878120,0,0,3646,13.442418098449707,4.34852933883667,-0.03949819505214691,0.0,0.0,0.0,0.0,1001,15.804507826228122,15.274159637255343,-3.2744992770789145,33.66426380030067
